b1,b3,b4,b5,b9a,b9b,b10a,b14a,b14b,b14c,b14d,b14e,b14f,b15,b16,b17,b18,b19,b20,b23,b24,b29,b30,b49,b50,b52a,b52b,b52c,b52d
24,4,1,50,1,,,,,,,,,,,,,,,,,,,,,,,,
24,4,1,51,2,,25,2,2,2,2,2,2,1,44,2,1,1,2,5,3,2,1,5,2,0,1,8,1
26,4,1,53,2,,7,2,2,2,2,2,2,1,41,1,2,5,3,6,5,1,2,0.5,2,0,2,4,1
34,4,1,57,2,,1,2,2,2,2,2,2,1,32,2,1,1,3,3,4,2,3,1,1,1,1,0,0
23,4,1,58,1,,,,,,,,,,,,,,,,,,,,,,,,
24,4,1,59,2,,31,2,2,2,2,2,2,1,25,1,1,1,2,5,2,1,1,50,2,2,1,0,0
29,4,1,63,2,,1,,,,,,,,,,,,,,,,,,,,,,
34,4,1,64,2,,1,2,2,1,2,2,2,1,20,1,1,2,3,6,4,2,1,1,2,2,0,0,0
22,4,1,82,2,,7,2,2,1,2,2,2,1,23,1,1,1,3,6,3,1,1,1,2,2,1,0,1
26,4,1,83,2,,1,2,2,1,2,2,2,1,38,1,1,2,3,7,4,2,1,0.0015,3,0,3,1,1
34,4,1,85,2,,7,2,2,1,2,2,2,1,49,1,1,2,3,6,4,1,1,,1,2,0,0,0
23,4,1,89,1,,,,,,,,,,,,,,,,,,,,,,,,
24,4,1,90,1,,,,,,,,,,,,,,,,,,,,,,,,
22,4,1,91,2,,1,2,2,2,2,2,1,1,45,1,1,2,3,7,3,2,1,1,2,5,5,5,3
21,4,1,92,2,,20,2,2,2,2,2,2,1,20,2,1,2,2,6,2,1,1,1,1,0,1,1,3
26,4,1,93,2,,1,,,,,,,2,,,,,,,,,,,,,,,
24,4,1,94,1,,,,,,,,,,,,,,,,,,,,,,,,
24,4,1,95,2,,25,2,2,2,2,2,2,1,29,1,1,1,2,6,3,1,1,10,1,1,1,2,0
21,4,1,103,2,,1,2,2,2,2,2,2,1,43,1,1,1,3,100,3,3,2,1,2,22,10,30,10
21,4,1,106,2,,1,2,2,2,2,2,2,1,28,1,1,1,3,6,4,1,1,1,2,2,2,4,2
21,4,1,128,2,,1,2,2,2,2,2,2,1,28,1,1,2,2,6,4,2,3,1,1,2,1,1,3
34,4,1,133,1,,,,,,,,,,,,,,,,,,,,,,,,
22,4,1,137,1,,,,,,,,,,,,,,,,,,,,,,,,
21,4,1,140,2,,24,2,2,2,2,2,2,1,36,2,1,2,3,888,,1,1,0,1,0,1,1,0
21,4,1,146,2,,1,2,2,1,2,2,2,1,38,2,1,1,1,7,3,1,1,1,2,0,4,12,0
21,4,1,147,2,,17,2,2,2,2,2,2,1,23,1,1,1,3,3,4,4,5,888,1,1,1,2,1
21,4,1,148,1,,,,,,,,,,,,,,,,,,,,,,,,
23,4,1,149,2,,,,,,,,,,,,,,,,,,,,,,,,
26,4,1,156,5,888,,,,,,,,,,,,,,,,,,,,,,,
22,4,1,170,1,,,,,,,,,,,,,,,,,,,,,,,,
22,4,1,174,2,,7,2,2,1,2,2,1,1,28,1,1,2,3,6,3,4,2,1,2,7,4,1,0
22,4,1,175,2,,1,2,2,1,2,2,1,1,32,1,1,1,3,6,3,4,2,100,2,2,3,5,5
61,1,2,47,2,,7,2,2,2,2,2,2,1,27,2,1,9,3,888,,1,1,0.03,1,0,2,0,0
62,1,2,118,4,,1,,,,,,,,,,,,,,,,,,,,,,
68,1,2,122,2,,1,2,1,1,2,2,2,1,20,1,1,3,3,6,4,4,3,0.03,2,3,5,5,1
67,1,2,125,2,,7,2,2,1,2,2,2,1,35,1,1,2,2,100,4,4,2,0.001,2,6,12,19,11
67,1,2,127,5,202,,,,,,,,,,,,,,,,,,,,,,,
68,1,2,129,1,,,,,,,,,,,,,,,,,,,,,,,,
61,1,2,134,2,,7,,,,,,,2,,,,,,,,,,,,,,,
61,1,2,135,3,,2,,,,,,,,,,,,,,,,,,,,,,
65,1,2,136,2,,7,2,2,1,2,2,1,1,27,2,1,2,3,6,4,2,2,0.2,2,1,2,15,18
68,1,2,137,2,,7,2,2,1,2,2,2,1,22,2,1,2,3,5,4,4,3,1,2,28,15,30,25
61,1,2,139,2,,,,,,,,,2,,,,,,,,,,,,,,,
61,1,2,141,2,,31,1,1,1,2,2,1,1,38,2,1,2,3,100,4,1,2,0.02,3,3,5,8,4
61,1,2,144,2,,7,2,2,1,2,2,2,1,40,1,1,2,3,1,3,1,1,0.5,2,14,8,2,2
67,1,2,145,2,,7,2,2,1,2,2,2,1,22,1,1,4,3,5,4,3,2,0.01,2,5,7,27,9
65,1,2,146,2,,7,2,2,1,2,2,2,1,39,1,1,2,3,6,4,2,2,0.5,3,25,10,60,55
61,1,2,149,2,,7,2,2,1,2,2,2,1,45,2,2,5,3,888,,1,1,0.05,1,1,2,5,2
68,1,2,151,2,,7,2,1,1,2,2,2,1,30,1,1,2,3,5,4,6,4,0.04,2,5,12,9,5
68,1,2,152,2,,1,2,2,1,2,2,2,1,26,2,1,4,3,100,4,3,2,0.001,2,1,5,6,0
68,1,2,155,2,,7,2,2,1,2,2,2,1,20,2,1,2,3,100,3,3,1,0.01,2,0,3,5,3
62,1,2,159,2,,7,2,2,2,2,2,2,1,29,2,1,2,1,4,2,1,1,0.1,1,0,1,1,2
65,1,2,165,2,,7,2,2,1,2,2,2,1,30,2,1,2,3,1,4,2,1,0.2,1,2,5,15,20
67,1,2,170,2,,19,1,2,2,2,2,2,1,26,2,2,3,3,100,100,7,8,,2,20,12,100,60
65,1,2,171,2,,7,2,2,1,2,2,2,1,32,2,1,2,3,6,4,2,2,1,1,2,2,15,12
67,1,2,175,2,,5,1,1,2,2,2,2,1,42,1,1,2,3,6,1,6,7,0.02,2,20,30,80,100
65,1,2,176,2,,15,2,2,2,2,2,2,1,34,1,1,2,3,6,3,6,1,0.15,2,2,0,50,0
61,1,2,183,2,,31,2,2,2,2,2,2,1,35,1,1,2,3,6,2,4,4,0.04,2,15,20,20,50
62,1,2,185,2,,12,2,2,2,2,2,2,1,24,1,1,2,2,1,2,7,7,0.3,2,1,0,6,5
65,1,2,188,2,,7,2,2,1,2,2,2,1,26,1,1,2,3,1,4,2,1,1,2,2,1,10,8
62,1,2,195,2,,,,,,,,,2,,,,,,,,,,,,,,,
68,1,2,202,2,,31,2,2,2,2,2,2,1,28,2,1,1,3,100,100,10,10,0.5,2,12,20,100,95
62,1,2,208,2,,12,2,2,2,2,2,2,1,37,1,1,2,3,100,2,3,3,1,2,2,0,3,5
65,1,2,209,2,,31,2,2,2,2,2,2,1,24,1,1,2,2,6,5,1,2,0.5,2,0,0,0,0
62,1,2,211,2,,7,2,2,1,2,2,2,1,26,2,1,2,2,7,2,5,4,1,3,15,12,50,15
67,1,2,240,2,,18,2,2,2,2,2,2,1,35,2,1,2,3,7,1,9,10,1,3,50,120,400,500
67,1,2,245,2,,18,2,2,2,2,2,2,1,20,2,2,4,3,5,3,4,6,2,2,2,12,50,100
62,1,2,248,2,,12,2,2,2,2,2,2,1,29,2,1,2,3,100,4,5,3,0.6,3,0,1,30,50
70,4,2,3,2,,1,2,2,2,2,2,2,1,20,2,1,2,3,6,3,2,1,888,1,1,4,6,1
70,4,2,5,2,,1,2,2,2,2,2,2,1,27,2,1,2,3,6,4,2,2,1,2,2,2,3,3
70,4,2,6,2,,1,2,2,1,2,2,2,1,28,2,1,2,3,5,1,6,4,1,1,1,1,2,0
70,4,2,8,2,,1,2,2,1,2,2,2,1,40,2,1,2,3,6,2,4,5,1,1,1,2,20,8
70,4,2,9,2,,2,2,2,1,2,2,2,1,25,2,1,3,3,6,3,1,1,1,2,4,3,15,8
70,4,2,11,2,,7,2,2,2,2,2,2,1,29,2,1,2,3,6,3,2,1,,2,1,2,15,2
73,4,2,13,2,,7,2,2,2,2,2,2,1,24,2,1,1,3,5,3,1,1,,2,3,6,0,0
78,4,2,15,2,,1,2,2,1,2,2,2,1,30,1,1,2,3,100,2,3,2,1,3,8,6,22,2
70,4,2,17,2,,1,2,2,1,2,2,2,1,32,1,1,2,3,7,4,6,7,1,3,3,1,9,0
78,4,2,18,2,,7,2,2,1,2,2,2,1,43,1,1,2,3,100,3,2,2,1,3,11,8,5,3
78,4,2,22,2,,1,2,1,2,2,2,2,1,27,1,1,2,3,6,2,3,2,1,2,3,7,21,15
77,4,2,23,2,,7,2,2,1,2,2,2,1,40,1,1,2,2,6,4,3,2,0.05,2,2,3,16,10
73,4,2,25,2,,18,1,1,2,2,2,1,1,32,1,1,1,3,100,1,4,5,0.5,2,40,50,70,80
78,4,2,31,2,,5,2,2,2,2,2,2,1,30,2,1,2,1,100,2,3,2,1,2,3,5,7,3
72,4,2,32,2,,7,2,2,2,2,2,2,1,23,1,1,2,2,6,4,3,2,2,2,2,4,3,0
71,4,2,33,2,,7,2,2,1,2,2,2,1,18,2,1,1,3,6,3,2,2,1,2,1,2,5,1
73,4,2,34,2,,7,2,1,1,2,2,2,1,30,2,2,3,3,2,1,2,1,1,2,2,5,20,8
78,4,2,36,2,,1,2,2,1,2,2,2,1,29,2,1,4,3,100,3,2,3,1,1,0,5,15,8
72,4,2,37,2,,7,2,2,1,1,2,2,1,42,1,1,2,3,7,3,1,1,1,3,4,4,2,2
73,4,2,39,2,,1,2,1,2,2,2,2,1,35,1,2,1,3,100,2,2,1,888,2,2,3,15,5
73,4,2,43,2,,7,2,2,1,2,2,2,1,30,1,1,1,3,1,3,2,1,0.5,2,5,10,11,18
77,4,2,50,2,,7,2,2,1,2,2,2,1,26,1,1,1,1,5,3,3,3,0.06,2,1,2,0,0
69,4,2,52,2,,1,2,2,1,2,2,1,1,51,2,1,2,3,100,4,1,1,1,2,2,2,30,20
73,4,2,54,2,,7,2,2,2,2,2,2,1,35,1,2,1,3,7,1,1,2,1.5,2,1,0,0,0
