b1,b3,b4,b5,b9a,b9b,b10a,b14a,b14b,b14c,b14d,b14e,b14f,b15,b16,b17,b18,b19,b20,b23,b24,b29,b30,b49,b50,b52a,b52b,b52c,b52d
103,4,3,103,2,,1,2,2,2,2,2,2,1,24,2,1,1,1,5,3,2,2,1,3,0,2,20,4
104,4,3,104,2,,1,2,2,2,2,2,2,1,23,2,1,2,3,6,3,1,1,1,1,0,1,0,0
101,4,3,107,1,,,,,,,,,,,,,,,,,,,,,,,,
101,4,3,108,1,,,,,,,,,,,,,,,,,,,,,,,,
103,4,3,109,1,,,,,,,,,,,,,,,,,,,,,,,,
105,4,3,117,2,,1,2,2,2,2,2,2,1,28,1,1,2,2,3,1,1,1,1,2,1,0,0,0
101,4,3,119,2,,1,2,2,2,2,2,2,1,36,2,1,2,3,7,2,1,1,1,2,0,1,2,3
101,4,3,120,2,,1,2,2,2,2,2,2,1,34,2,1,2,3,7,2,1,1,,2,1,1,4,1
101,4,3,121,5,120,,,,,,,,,,,,,,,,,,,,,,,
102,4,3,129,2,,1,2,2,2,2,2,2,1,31,1,2,3,2,6,2,2,2,1,2,12,0,12,0
104,4,3,134,2,,1,2,2,2,2,2,1,1,60,1,2,2,3,1,100,3,1,1,3,1,1,10,1
104,4,3,135,4,,19,,,,,,,,,,,,,,,,,,,,,,
102,4,3,138,3,,18,,,,,,,,,,,,,,,,,,,,,,
103,4,3,139,2,,1,2,2,2,2,2,2,1,42,2,1,1,3,6,4,1,1,1,3,0,1,5,4
101,4,3,140,1,,,,,,,,,,,,,,,,,,,,,,,,
103,4,3,141,2,,1,2,2,2,2,2,2,1,27,2,1,2,3,6,1,1,1,1,3,0,1,0,15
103,4,3,142,1,,,,,,,,,,,,,,,,,,,,,,,,
103,4,3,151,1,,,,,,,,,,,,,,,,,,,,,,,,
103,4,3,160,2,,16,2,2,2,2,2,2,1,23,1,1,2,3,7,3,1,1,0,2,2,0,2,0
103,4,3,162,2,,1,2,2,2,2,2,2,1,19,2,1,1,1,1,1,1,1,1,2,1,2,10,2
104,4,3,163,2,,20,2,2,2,2,2,2,1,19,1,1,2,3,100,100,888,888,,1,5,0,0,0
105,4,3,164,2,,1,2,2,2,2,2,2,1,38,1,1,2,2,3,2,1,1,1,2,2,1,4,1
103,4,3,165,2,,16,2,1,2,2,2,2,1,27,2,1,2,3,6,3,1,1,0,3,1,1,10,0
102,4,3,166,2,,16,2,2,2,2,2,2,1,34,1,1,1,2,6,1,1,1,,2,1,1,2,0
104,4,3,168,2,,20,2,2,2,2,2,2,1,40,2,2,1,2,100,2,2,2,,1,0,1,0,0
101,4,3,172,2,,1,2,2,2,2,2,2,1,21,1,1,1,888,7,3,1,1,2,2,0,2,0,0
104,4,3,174,1,,,,,,,,,,,,,,,,,,,,,,,,
104,4,3,175,2,,1,2,2,2,2,2,2,1,22,2,1,1,3,100,3,2,2,,1,0,2,10,2
102,4,3,176,2,,20,2,2,2,2,2,2,1,39,2,1,1,3,6,1,1,1,1,2,0,1,1,0
104,4,3,181,4,,20,,,,,,,,,,,,,,,,,,,,,,
161,1,4,2,2,,1,2,2,1,2,2,2,1,30,2,1,1,1,4,4,4,1,1,2,0,2,2,0
161,1,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,
169,1,4,4,2,,1,2,2,1,2,2,2,1,40,1,2,4,2,6,4,4,2,1,2,0,2,0,0
162,1,4,5,2,,7,1,1,1,2,2,2,1,36,2,1,3,3,4,4,4,2,,2,20,16,5,7
168,1,4,6,7,,2,2,2,2,2,2,2,1,35,2,1,2,3,5,2,1,1,888,2,1,3,1,1
162,1,4,7,2,,7,1,1,1,2,2,2,1,48,2,1,2,3,5,2,1,2,,2,12,20,6,8
167,1,4,8,2,,18,2,2,2,2,2,2,1,41,1,1,5,3,3,2,888,888,1,1,0,0,0,0
167,1,4,10,3,,7,,,,,,,,,,,,,,,,,,,,,,
167,1,4,11,2,,1,2,2,2,2,2,2,1,19,2,1,2,1,6,2,1,1,1,2,0,1,1,0
162,1,4,12,2,,1,1,1,1,2,2,1,1,25,1,1,2,3,6,3,3,2,,2,10,12,4,6
169,1,4,13,4,,32,,,,,,,,,,,,,,,,,,,,,,
168,1,4,14,2,,7,1,1,1,2,2,1,1,39,1,1,2,3,6,3,4,4,888,2,12,8,1,2
161,1,4,16,2,,1,2,2,2,2,2,2,1,43,1,1,2,3,6,4,3,1,1,2,3,3,4,2
161,1,4,17,2,,1,2,2,1,2,2,2,1,27,1,1,2,2,7,3,3,888,1,2,2,0,5,0
166,1,4,18,2,,1,2,2,1,2,2,2,1,30,1,1,2,3,7,3,2,1,2,3,2,2,10,0
168,1,4,19,2,,7,2,1,2,2,2,2,1,60,2,1,2,3,2,3,2,1,888,1,0,3,1,1
166,1,4,20,2,,7,2,2,2,2,2,2,1,36,1,1,2,3,888,,1,1,1,2,2,7,4,2
169,1,4,21,3,,,,,,,,,,,,,,,,,,,,,,,,
169,1,4,22,2,,1,2,2,1,2,2,2,1,27,2,1,3,3,6,3,2,1,1,2,0,3,6,1
165,1,4,23,7,,,,,,,,,,,,,,,,,,,,,,,,
169,1,4,24,2,,1,2,1,1,2,2,2,1,28,1,1,3,2,6,4,2,2,1,2,1,3,5,0
169,1,4,25,2,,1,2,2,2,2,2,2,1,30,2,1,2,1,6,4,3,2,1,1,8,2,2,1
165,1,4,26,2,,1,1,1,1,2,2,2,1,58,1,1,2,3,6,4,1,1,0.1,2,2,0,1,0
165,1,4,28,1,,,,,,,,,,,,,,,,,,,,,,,,
167,1,4,31,7,,,,,,,,,,,,,,,,,,,,,,,,
166,1,4,32,2,,,,,,,,,,,,,,,,,,,,,,,,
167,1,4,33,2,,7,2,2,1,2,2,2,1,26,2,1,4,888,888,,2,2,1,2,0,1,0,1
162,1,4,37,2,,7,1,1,1,2,2,1,1,30,2,1,2,3,6,3,4,4,,2,18,26,8,6
161,1,4,38,2,,2,2,2,1,2,2,2,1,40,1,2,4,3,6,5,6,4,1,2,1,2,5,3
168,1,4,39,5,117,,,,,,,,,,,,,,,,,,,,,,,
168,1,4,40,2,,7,2,2,2,2,2,2,1,31,2,1,2,3,3,5,1,1,888,1,0,2,1,0
168,1,4,41,2,,1,2,2,1,2,2,2,1,40,2,1,2,3,3,3,2,1,888,1,0,2,0,1
166,1,4,42,2,,1,2,2,2,2,2,2,1,39,2,1,2,3,2,4,1,1,1,2,0,1,8,1
162,1,4,43,2,,1,1,1,2,2,2,2,1,30,1,2,4,1,1,2,1,1,,1,1,1,1,1
168,1,4,44,5,107,,,,,,,,,,,,,,,,,,,,,,,
169,1,4,47,2,,,,,,,,,,,,,,,,,,,,,,,,
166,1,4,48,2,,7,2,2,2,2,2,2,1,40,1,1,2,3,2,5,1,1,1,2,1,0,1,0
161,1,4,49,2,,1,2,2,1,2,2,2,1,33,2,1,2,1,5,4,2,2,1,2,0,2,4,2
162,1,4,51,2,,1,1,1,1,2,2,2,1,36,1,1,2,3,1,1,1,1,,2,2,6,2,2
161,1,4,52,2,,1,2,2,1,2,2,2,1,22,1,1,1,2,6,4,2,1,1,2,2,0,5,3
162,1,4,53,2,,5,2,2,2,2,2,1,1,36,1,1,1,3,5,1,5,4,,2,0,0,0,0
166,1,4,54,2,,1,2,2,2,2,2,2,1,27,2,1,2,3,6,4,3,1,1,2,1,1,10,0
161,1,4,56,2,,18,2,2,1,2,2,2,1,50,1,1,2,3,7,2,6,7,1,2,70,80,100,140
166,1,4,68,5,70,,,,,,,,,,,,,,,,,,,,,,,
167,1,4,69,2,,1,2,2,1,2,2,1,1,20,1,1,2,1,7,1,2,2,1,2,1,0,1,0
167,1,4,70,2,,7,2,2,1,2,2,1,1,35,2,1,2,3,5,4,1,1,1,2,2,8,1,0
166,1,4,71,2,,1,2,2,2,2,2,2,1,40,1,1,2,3,7,3,1,1,2,2,0,1,15,1
167,1,4,72,2,,13,2,2,2,2,2,2,1,28,1,1,4,1,5,4,888,888,1,1,6,2,0,0
164,1,4,81,2,,1,2,2,1,2,2,2,1,45,2,1,1,2,1,3,1,1,3,3,0,1,0,0
164,1,4,82,2,,7,1,2,2,2,2,2,1,36,1,1,1,3,5,100,1,1,1,2,2,0,4,0
165,1,4,84,2,,1,2,1,1,2,2,2,1,39,2,1,2,3,7,4,1,1,0.1,2,3,4,0,1
164,1,4,85,5,22,,,,,,,,,,,,,,,,,,,,,,,
164,1,4,100,2,,7,2,2,1,2,2,2,1,45,2,1,1,3,6,2,2,1,,3,0,2,1,1
163,1,4,104,4,,31,,,,,,,,,,,,,,,,,,,,,,
163,1,4,105,2,,21,2,2,2,2,2,2,1,26,1,1,2,3,6,1,2,6,,2,2,0,2,0
173,1,4,107,2,,7,2,2,1,2,2,2,1,45,2,1,2,3,6,5,2,1,0.12,2,0,1,0,0
164,1,4,108,2,,23,2,2,2,2,2,1,1,52,2,1,2,3,100,1,1,1,,3,7,23,0,0
165,1,4,109,2,,1,2,2,1,2,2,2,1,45,1,1,1,3,6,3,2,1,0.2,2,1,1,1,1
165,1,4,110,2,,17,2,2,2,2,2,2,1,35,2,1,2,3,6,2,1,1,0.1,2,0,2,0,0
163,1,4,111,2,,13,1,2,1,2,2,2,1,26,1,1,2,3,6,888,2,3,,1,20,2,10,1
163,1,4,112,7,,,,,,,,,,,,,,,,,,,,,,,,
163,1,4,113,1,,,,,,,,,,,,,,,,,,,,,,,,
163,1,4,114,4,,1,,,,,,,,,,,,,,,,,,,,,,
165,1,4,115,2,,15,2,2,1,2,2,2,1,32,1,1,2,3,6,4,3,1,1,2,4,1,1,0
164,1,4,116,2,,1,2,2,2,2,2,2,1,30,2,1,3,2,100,4,1,1,,3,0,1,8,1
164,1,4,117,2,,1,2,2,1,2,2,2,1,38,2,1,1,3,6,4,3,1,1,3,1,2,21,0
150,3,4,29,2,,2,2,2,2,2,2,2,1,26,1,1,2,3,7,3,2,2,1,2,6,6,1,1
30,3,4,30,2,,1,2,2,2,2,2,2,1,32,2,1,2,3,7,3,1,1,,1,0,2,0,1
142,3,4,34,2,,1,2,2,1,2,2,2,1,20,2,1,2,1,6,4,2,1,0.3,2,0,1,0,1
141,3,4,35,2,,1,2,2,2,2,2,2,1,21,2,1,1,1,5,2,2,1,1,2,0,1,1,0
141,3,4,57,2,,1,2,2,2,2,2,2,1,39,2,1,1,2,7,2,1,1,1,2,0,1,1,0
150,3,4,58,2,,7,2,1,2,2,2,2,1,48,1,2,3,3,3,3,1,1,1,2,1,1,1,1
146,3,4,59,2,,27,2,1,1,2,2,2,1,43,1,2,4,3,888,,1,1,1,3,1,2,0,0
144,3,4,60,2,,1,2,2,2,2,2,2,1,46,2,1,2,1,7,3,1,1,1,1,0,3,1,0
142,3,4,61,2,,7,2,1,1,2,2,2,1,23,1,1,2,3,5,3,1,1,0.5,2,1,1,1,1
150,3,4,62,2,,7,2,2,1,2,2,2,1,36,2,1,1,888,6,3,2,2,1,2,2,5,1,1
145,3,4,63,1,,,,,,,,,,,,,,,,,,,,,,,,
144,3,4,64,2,,1,2,2,2,2,2,2,1,18,2,1,2,1,6,4,1,2,1,2,0,2,1,0
65,3,4,65,2,,1,2,2,1,2,2,2,1,35,2,1,2,3,7,3,1,1,,2,1,3,1,0
146,3,4,66,2,,27,2,2,1,2,2,2,1,49,1,1,1,3,6,3,3,5,1,3,0,2,0,0
145,3,4,67,2,,7,2,2,1,2,2,2,1,23,1,1,1,2,999,,1,1,1,2,1,0,1,0
141,3,4,74,1,,,,,,,,,,,,,,,,,,,,,,,,
149,3,4,76,2,,20,2,2,2,2,2,2,1,40,2,1,2,3,3,100,1,1,,1,0,2,0,0
141,3,4,77,2,,1,2,2,2,2,2,2,1,34,1,1,1,1,7,3,1,1,1,2,1,1,0,0
149,3,4,78,4,,1,,,,,,,,,,,,,,,,,,,,,,
145,3,4,80,2,,1,2,2,2,2,2,2,1,73,1,1,1,3,5,3,2,1,888,2,2,0,1,0
142,3,4,86,2,,1,2,2,2,2,2,2,1,27,2,1,2,3,6,4,2,1,0.2,2,0,2,0,1
144,3,4,87,2,,1,2,2,2,2,2,2,1,23,2,1,2,3,3,1,5,3,1,2,2,2,1,1
149,3,4,88,2,,1,2,2,2,2,2,2,1,36,2,1,1,1,6,100,1,1,0.3,2,2,1,0,0
145,3,4,89,2,,1,2,2,2,2,2,2,1,24,2,1,1,1,6,3,2,1,,2,0,2,0,1
149,3,4,90,5,78,,,,,,,,,,,,,,,,,,,,,,,
150,3,4,91,2,,1,2,2,2,2,2,2,1,31,1,1,1,1,7,3,1,2,1,2,1,0,0,0
145,3,4,93,4,,1,,,,,,,,,,,,,,,,,,,,,,
146,3,4,94,7,,,,,,,,,,,,,,,,,,,,,,,,
146,3,4,97,2,,1,2,2,1,2,2,2,1,32,2,1,2,3,6,3,888,888,1,2,0,2,0,5
142,3,4,98,2,,7,2,2,1,2,2,2,1,19,2,1,2,3,5,4,2,2,1,2,0,4,0,1
142,3,4,99,2,,7,2,2,1,2,2,2,1,25,1,1,2,3,7,3,4,1,0.4,2,2,3,1,1
150,3,4,101,2,,1,2,2,2,2,2,2,1,22,2,1,1,2,7,3,4,1,,2,1,2,1,1
141,3,4,102,2,,5,2,2,2,2,2,2,1,33,1,2,3,3,6,1,2,1,1,1,1,0,0,0
146,3,4,103,2,,27,2,2,1,2,2,2,1,38,2,1,1,3,6,3,1,1,1,3,0,1,0,0
182,1,5,4,2,,15,2,2,2,2,2,2,1,48,1,1,2,1,6,2,2,2,1,1,1,0,1,0
189,1,5,6,2,,18,2,2,1,2,2,1,1,28,2,1,2,3,3,2,4,6,1,2,5,96,5,235
183,1,5,7,2,,7,2,2,1,2,2,2,1,25,1,1,1,2,5,4,2,2,3,2,10,8,12,7
182,1,5,9,2,,18,2,2,2,2,2,2,1,52,2,1,1,3,7,4,7,7,1,2,120,100,50,50
11,1,5,10,5,51,,,,,,,,,,,,,,,,,,,,,,,
11,1,5,12,1,,,,,,,,,,,,,,,,,,,,,,,,
183,1,5,15,2,,14,2,2,2,2,2,2,1,41,2,1,1,3,6,2,4,2,1,1,8,3,0,1
182,1,5,16,2,,17,2,2,2,2,2,2,1,19,2,1,2,1,7,2,1,1,,1,0,3,0,1
183,1,5,17,2,,26,2,2,2,2,2,2,1,32,1,1,3,3,6,2,5,3,1,1,9,12,3,4
182,1,5,18,2,,7,2,2,2,2,2,2,1,27,1,1,1,2,5,2,3,2,1,2,2,2,1,0
183,1,5,23,1,,,,,,,,,,,,,,,,,,,,,,,,
183,1,5,25,2,,1,2,1,1,2,2,2,1,23,1,1,1,3,100,4,3,2,5,2,6,2,9,2
11,1,5,26,2,,18,,,,,,,2,,,,,,,,,,,,,,,
186,1,5,28,1,,,,,,,,,,,,,,,,,,,,,,,,
184,1,5,29,1,,,,,,,,,,,,,,,,,,,,,,,,
184,1,5,31,2,,16,2,2,2,2,2,2,1,30,2,1,1,3,888,,1,1,0.3,1,1,1,0,0
181,1,5,32,4,,16,,,,,,,,,,,,,,,,,,,,,,
189,1,5,33,2,,10,2,2,1,2,2,1,1,42,1,1,3,3,1,1,6,7,1,2,12,3,23,38
186,1,5,35,2,,15,2,2,2,2,2,2,1,35,1,1,2,3,5,2,4,3,,2,2,0,1,0
184,1,5,38,2,,7,2,2,1,2,2,2,1,18,1,1,2,3,5,3,2,1,0.3,2,3,3,1,0
187,1,5,40,2,,7,2,2,1,2,2,2,1,65,1,1,2,3,5,4,3,888,2,1,4,8,1,0
188,1,5,41,2,,7,2,2,1,2,2,2,1,30,1,1,2,3,888,,1,1,0.3,2,2,0,1,0
189,1,5,42,2,,31,2,2,2,2,2,2,1,29,1,1,2,3,3,3,5,888,1,2,12,2,80,50
182,1,5,44,2,,1,2,1,1,2,2,2,1,37,1,1,2,3,5,4,3,2,1,2,1,3,1,1
11,1,5,46,2,,31,,,,,,,2,,,,,,,,,,,,,,,
189,1,5,50,2,,1,2,2,1,2,2,2,1,23,2,2,2,2,3,4,1,1,1,1,1,1,0,0
189,1,5,51,2,,10,2,2,1,2,2,1,1,30,1,1,2,3,3,1,3,1,1,2,5,2,25,34
185,1,5,52,2,,7,2,2,2,2,2,2,1,30,1,1,2,3,3,4,888,888,1,1,1,1,1,0
187,1,5,53,2,,7,2,2,2,2,2,2,1,20,1,1,2,2,5,2,5,6,,2,2,2,1,0
181,1,5,56,2,,27,2,2,2,2,2,2,1,19,1,2,1,3,6,2,5,3,888,1,8,2,1,3
186,1,5,58,2,,31,2,2,2,2,2,2,1,39,1,1,2,1,2,2,5,5,,2,1,0,1,0
181,1,5,59,2,,1,2,2,2,2,2,2,1,45,1,1,1,3,100,3,2,2,,1,3,5,1,1
185,1,5,60,2,,31,2,2,2,2,2,2,1,20,1,1,2,888,5,2,1,1,1,2,2,0,1,0
188,1,5,62,5,67,14,2,2,2,2,2,2,1,24,2,1,1,1,6,2,3,2,3,2,0,0,0,0
186,1,5,65,2,,16,2,2,2,2,2,2,1,40,2,1,2,3,3,2,4,3,,2,0,2,0,1
187,1,5,66,2,,7,2,2,2,2,2,2,1,25,2,1,2,2,4,1,888,888,,2,1,2,0,1
188,1,5,67,2,,10,2,2,2,2,2,2,1,30,1,1,1,3,1,1,2,1,0.25,2,12,3,1,0
185,1,5,68,2,,1,2,2,2,2,2,2,1,20,1,1,1,1,6,4,1,1,,2,1,1,0,0
184,1,5,69,2,,31,2,2,2,2,2,2,1,46,1,2,2,3,5,100,3,1,0.2,2,1,0,1,0
185,1,5,70,1,,31,,,,,,,2,,,,,,,,,,,,,,,
186,1,5,71,2,,1,1,1,1,2,2,2,1,45,1,1,1,3,5,4,4,3,,2,3,6,1,0
184,1,5,74,1,,,,,,,,,,,,,,,,,,,,,,,,
181,1,5,75,2,,1,2,2,2,2,2,2,1,30,1,1,2,2,1,4,2,2,,1,1,1,5,2
181,1,5,77,2,,7,2,2,2,2,2,2,1,50,1,1,1,2,5,3,2,2,1,1,3,5,2,2
188,1,5,78,1,,,,,,,,,,,,,,,,,,,,,,,,
187,1,5,83,2,,31,2,2,2,2,2,2,1,43,1,1,2,3,1,2,888,888,,2,4,3,12,0
188,1,5,85,2,,18,2,2,2,2,2,2,1,39,2,1,2,3,6,1,4,6,0.2,2,4,50,0,1
187,1,5,88,2,,15,2,2,2,2,2,2,1,30,1,1,7,2,100,3,888,888,0.5,2,1,0,1,0
185,1,5,89,2,,1,2,2,1,2,2,2,1,34,2,1,2,3,5,4,1,1,1,2,0,2,1,0
187,1,5,91,1,,,,,,,,,,,,,,,,,,,,,,,,
185,1,5,92,5,67,10,2,2,2,2,2,2,1,34,1,1,2,3,1,1,7,6,1,2,1,0,1,0
181,1,5,94,2,,10,2,2,2,2,2,2,1,22,1,1,2,3,5,1,5,7,1,1,50,45,100,150
188,1,5,95,2,,23,2,2,2,2,2,2,1,42,1,1,1,3,100,1,1,2,0.5,2,15,8,0,1
11,1,5,98,4,,20,,,,,,,,,,,,,,,,,,,,,,
186,1,5,99,2,,7,2,2,2,2,2,2,1,34,2,1,2,3,5,3,5,4,,2,2,4,1,2
183,1,5,100,2,,1,,,,,,,2,,,,,,,,,,,,,,,
189,1,5,101,2,,20,2,2,2,2,2,2,1,40,2,1,2,3,3,1,1,1,1,2,0,3,0,1
184,1,5,103,2,,7,2,2,1,2,2,2,1,38,2,1,2,3,888,,1,1,0.25,1,1,1,1,0
183,1,5,104,2,,18,2,2,2,2,2,2,1,50,2,1,2,3,3,1,1,5,0,2,7,27,4,47
189,1,5,105,2,,22,2,2,2,2,2,1,1,49,1,1,3,3,7,1,2,4,1,2,1,0,1,0
182,1,5,106,2,,21,2,2,2,2,2,2,1,33,1,1,1,3,3,2,3,2,1,2,1,1,1,1
11,1,5,135,7,,,,,,,,,,,,,,,,,,,,,,,,
201,4,5,107,2,,1,2,2,2,2,2,2,1,60,1,1,2,3,4,1,2,1,1,3,2,1,17,2
203,4,5,108,2,,1,2,2,2,2,2,2,1,32,1,1,1,3,6,4,2,1,2,2,1,3,0,0
203,4,5,109,2,,1,2,2,2,2,2,2,1,24,1,1,2,3,6,4,2,2,1,2,1,1,4,0
203,4,5,110,2,,31,2,2,2,2,2,2,1,23,2,1,2,3,7,2,3,2,1,1,0,1,30,15
207,4,5,111,2,,10,2,2,1,2,2,2,1,47,1,1,1,3,6,2,4,2,1,2,4,2,19,12
201,4,5,112,2,,1,2,2,2,2,2,2,1,47,1,1,2,3,4,3,2,1,1,2,2,0,9,1
202,4,5,113,2,,15,2,2,2,2,2,2,1,21,1,1,2,2,100,3,3,1,1,2,1,0,20,5
203,4,5,119,2,,1,2,2,2,2,2,2,1,32,1,1,1,3,6,5,3,2,1,2,2,6,3,0
202,4,5,120,2,,31,2,2,2,2,2,2,1,70,1,1,1,3,6,3,2,1,1,2,1,0,4,1
204,4,5,121,2,,20,2,2,2,2,2,2,1,27,2,1,1,2,100,1,1,1,1,2,2,2,5,1
207,4,5,122,2,,1,2,2,2,2,2,1,1,34,1,1,2,3,6,2,1,1,1,2,1,0,6,0
202,4,5,124,2,,31,2,2,2,2,2,2,1,53,1,1,2,3,100,3,1,1,1,2,1,1,7,1
207,4,5,128,2,,12,2,2,1,2,2,1,1,30,1,1,2,3,100,100,4,1,1,2,5,1,11,2
204,4,5,129,2,,7,2,2,2,2,2,2,1,24,1,1,1,3,5,100,5,3,1,2,1,2,5,1
201,4,5,130,5,130,,,,,,,,,,,,,,,,,,,,,,,
205,4,5,133,2,,31,2,2,2,2,2,2,1,25,2,1,2,3,1,100,3,2,0.3,2,1,1,5,1
205,4,5,137,2,,31,2,2,2,2,2,2,1,26,1,2,2,1,100,100,4,4,2,2,1,0,15,0
203,4,5,139,2,,31,2,2,2,2,2,2,1,30,2,1,2,1,4,2,1,1,1,1,0,2,1,0
207,4,5,140,2,,7,2,2,2,2,2,2,1,36,1,1,1,3,888,,4,888,1,2,1,1,4,3
202,4,5,141,2,,1,2,2,2,2,2,2,1,26,2,1,2,3,100,3,1,1,0.5,2,1,1,6,0
203,4,5,145,2,,1,2,2,2,2,2,2,1,20,1,1,2,3,4,5,2,1,,2,2,2,3,0
201,4,5,146,5,150,,,,,,,,,,,,,,,,,,,,,,,
204,4,5,147,2,,1,2,2,1,2,2,2,1,48,1,1,1,3,6,2,1,1,1,2,1,1,0,0
201,4,5,149,5,152,,,,,,,,,,,,,,,,,,,,,,,
201,4,5,150,2,,7,2,2,1,2,2,2,1,28,1,1,2,3,6,3,1,1,1,2,2,0,1,0
201,4,5,151,5,109,,,,,,,,,,,,,,,,,,,,,,,
203,4,5,152,2,,1,2,2,2,2,2,2,1,45,1,1,2,2,6,4,3,2,1,2,4,2,3,0
207,4,5,154,2,,1,2,2,1,2,2,2,1,35,1,1,1,3,6,3,4,2,1,2,1,3,2,4
205,4,5,155,2,,1,2,2,2,2,2,2,1,43,2,1,1,1,100,3,2,888,5,1,0,1,0,1
204,4,5,158,2,,1,2,2,2,2,2,2,1,38,1,1,2,3,5,2,2,1,1,2,1,0,2,0
202,4,5,160,5,158,,,,,,,,,,,,,,,,,,,,,,,
202,4,5,172,2,,31,2,2,2,2,2,2,1,31,2,1,1,3,888,,1,1,0.02,3,0,1,3,0
204,4,5,173,5,158,,,,,,,,,,,,,,,,,,,,,,,
205,4,5,177,2,,20,2,2,2,2,2,2,1,39,2,1,2,3,100,1,2,1,0.3,1,1,2,6,3
204,4,5,178,2,,23,2,2,2,2,2,2,1,56,2,1,1,888,5,1,3,1,2,2,0,0,0,0
205,4,5,180,2,,1,2,2,1,2,2,2,1,24,2,1,1,3,100,3,2,2,24,2,1,5,1,0
202,4,5,183,4,,31,,,,,,,,,,,,,,,,,,,,,,
267,1,7,5,2,,7,2,2,1,2,2,2,1,22,2,1,2,1,5,4,6,5,,2,2,4,4,3
263,1,7,7,3,,1,,,,,,,,,,,,,,,,,,,,,,
266,1,7,8,4,,7,,,,,,,,,,,,,,,,,,,,,,
263,1,7,30,2,,1,2,2,2,2,2,2,1,31,1,1,1,2,6,3,1,1,1,2,1,1,3,2
262,1,7,35,2,,1,2,2,1,2,2,2,1,26,1,1,1,3,5,4,2,1,0.02,3,1,1,1,0
39,1,7,39,3,,7,,,,,,,,,,,,,,,,,,,,,,
264,1,7,44,2,,1,2,2,2,2,2,2,1,22,2,2,5,2,4,3,2,2,3,1,3,2,4,1
265,1,7,47,2,,1,2,2,2,2,2,2,1,31,2,1,2,3,5,3,3,1,1,2,0,3,2,0
262,1,7,53,2,,7,2,2,2,2,2,2,1,28,2,1,3,3,2,1,1,1,0.03,2,0,2,0,0
263,1,7,54,2,,8,2,2,1,2,2,2,1,34,1,1,2,3,5,3,3,2,1,2,6,0,15,220
263,1,7,59,2,,1,2,2,1,2,2,2,1,23,2,1,1,1,6,3,1,1,1,2,0,3,0,0
266,1,7,60,2,,1,2,2,1,2,2,2,1,30,2,1,2,1,6,4,2,2,1,2,0,2,1,0
265,1,7,64,2,,7,2,2,1,2,2,2,1,30,2,1,2,1,5,3,1,1,1,2,0,1,0,0
264,1,7,65,2,,7,2,2,1,2,2,1,1,30,1,1,2,3,6,2,2,2,100,2,2,4,8,0
262,1,7,73,2,,7,2,2,2,2,2,2,1,26,1,1,1,3,6,1,2,1,0.01,3,3,2,1,2
266,1,7,75,2,,7,2,2,2,2,2,2,1,38,1,1,2,3,7,4,1,1,1,2,1,0,0,0
268,1,7,76,2,,7,2,2,2,2,2,2,1,27,1,1,2,2,6,4,2,2,1,2,2,3,5,10
262,1,7,79,2,,1,2,2,1,2,2,2,1,43,2,1,2,3,6,3,1,1,0.002,2,1,1,2,0
267,1,7,81,2,,7,2,2,1,2,2,2,1,36,2,1,2,3,6,2,1,1,1,2,1,2,1,2
267,1,7,83,2,,7,2,2,1,2,2,2,1,21,2,1,2,3,6,3,1,1,,2,1,2,1,1
261,1,7,88,5,11,,,,,,,,,,,,,,,,,,,,,,,
261,1,7,93,2,,14,2,1,2,2,2,2,1,29,1,1,2,3,7,2,5,3,,2,10,0,13,0
268,1,7,94,2,,1,2,2,2,2,2,2,1,26,2,1,1,3,6,2,1,1,1,2,2,5,2,1
261,1,7,95,2,,1,2,2,2,2,2,2,1,31,1,1,2,3,6,2,3,1,1,2,1,0,0,0
263,1,7,96,2,,8,2,2,2,2,2,2,1,26,2,2,2,3,6,4,2,3,,2,0,3,12,14
261,1,7,97,2,,1,2,2,2,2,2,2,1,28,2,1,2,3,5,3,2,1,1,2,0,1,4,0
266,1,7,98,4,,1,,,,,,,,,,,,,,,,,,,,,,
266,1,7,100,2,,7,2,2,2,1,2,2,1,42,2,1,2,3,3,4,1,1,1,2,0,1,0,0
268,1,7,101,2,,7,2,2,2,2,2,2,1,35,2,1,1,2,100,3,1,1,,2,0,1,0,1
268,1,7,105,2,,1,2,2,2,2,2,2,1,27,2,1,1,1,6,2,4,4,1,2,3,4,3,4
266,1,7,111,2,,1,2,2,1,2,2,2,1,20,2,1,2,3,6,4,1,1,1,2,0,2,0,0
265,1,7,116,2,,7,2,2,1,2,2,2,1,22,1,1,2,2,6,2,1,1,1,2,3,2,0,1
264,1,7,120,4,,1,,,,,,,,,,,,,,,,,,,,,,
264,1,7,124,2,,1,2,2,2,2,2,2,1,34,1,1,2,2,2,2,2,2,2,2,1,1,1,0
265,1,7,128,1,,,,,,,,,,,,,,,,,,,,,,,,
262,1,7,132,2,,31,2,2,2,2,2,2,1,28,1,1,2,3,100,100,3,5,0.03,2,3,4,8,11
264,1,7,135,4,,1,,,,,,,,,,,,,,,,,,,,,,
261,1,7,136,2,,31,2,2,2,2,2,2,1,40,1,1,1,1,5,1,2,1,,2,1,0,0,0
285,3,7,1,2,,7,2,2,2,2,2,2,1,42,1,1,2,3,3,3,1,1,1,2,2,1,2,3
287,3,7,2,5,52,,,,,,,,,,,,,,,,,,,,,,,
